SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,June-20-2023,Single Family Residential,5201 Elsmere Ave,Bethesda,MD,20814,879000,3,1.5,MAPLEWOOD,1663,7914,1941,,529,,Sold,,,https://www.redfin.com/MD/Bethesda/5201-Elsmere-Ave-20814/home/10657817,BRIGHT MLS,MDMC2093814,N,Y,39.0096862,-77.1037377
PAST SALE,May-19-2023,Single Family Residential,7605 Arrowood Rd,Bethesda,MD,20817,1399000,5,4.5,BURNING TREE ESTATES,4272,20098,1966,,327,,Sold,,,https://www.redfin.com/MD/Bethesda/7605-Arrowood-Rd-20817/home/10679393,BRIGHT MLS,MDMC2089324,N,Y,38.9988793,-77.1554142
PAST SALE,July-24-2023,Single Family Residential,8005 Summer Mill Ct,Bethesda,MD,20817,1900000,5,4.5,BURNING TREE VALLEY,5248,12801,1996,,362,,Sold,,,https://www.redfin.com/MD/Bethesda/8005-Summer-Mill-Ct-20817/home/10699666,BRIGHT MLS,MDMC2092116,N,Y,38.9896566,-77.1447864
PAST SALE,May-26-2023,Single Family Residential,9910 Edward Ave,Bethesda,MD,20814,1762500,6,5.5,NORTH BETHESDA GROVE,4579,5063,2023,,385,,Sold,,,https://www.redfin.com/MD/Bethesda/9910-Edward-Ave-20814/home/10664892,BRIGHT MLS,MDMC2090428,N,Y,39.0182917,-77.1129967
PAST SALE,June-12-2023,Single Family Residential,6101 Eastview St,Bethesda,MD,20817,1490000,4,3.5,KENWOOD PARK,5320,18473,1969,,280,,Sold,,,https://www.redfin.com/MD/Bethesda/6101-Eastview-St-20817/home/10668179,BRIGHT MLS,MDMC2092996,N,Y,38.9784773,-77.1229435
PAST SALE,September-1-2023,Single Family Residential,7109 Heathwood Ct,Bethesda,MD,20817,2325000,6,4.5,BRADLEY HILLS GROVE,6011,16979,1980,,387,,Sold,,,https://www.redfin.com/MD/Bethesda/7109-Heathwood-Ct-20817/home/10661759,BRIGHT MLS,MDMC2101510,N,Y,38.9991566,-77.1444269
PAST SALE,July-7-2023,Single Family Residential,8511 Rayburn Rd,Bethesda,MD,20817,1280000,5,5,BRADMOOR,3260,10846,1951,,393,,Sold,,,https://www.redfin.com/MD/Bethesda/8511-Rayburn-Rd-20817/home/10662851,BRIGHT MLS,MDMC2093072,N,Y,38.9955357,-77.1200892
PAST SALE,May-6-2023,Single Family Residential,8224 Burning Tree Rd,Bethesda,MD,20817,1150000,4,3,BRADLEY HILLS GROVE,2822,17115,1968,,408,,Sold,,,https://www.redfin.com/MD/Bethesda/8224-Burning-Tree-Rd-20817/home/10661581,BRIGHT MLS,MDMC2089534,N,Y,38.9954492,-77.1464042
PAST SALE,August-15-2023,Single Family Residential,5915 Lone Oak Dr,Bethesda,MD,20814,2375000,6,5,LONE OAK,4864,13600,2023,,488,,Sold,,,https://www.redfin.com/MD/Bethesda/5915-Lone-Oak-Dr-20814/home/183923691,BRIGHT MLS,MDMC2080618,N,Y,39.0199171,-77.1203294
PAST SALE,June-5-2023,Single Family Residential,5307 Mckinley St,Bethesda,MD,20814,1485000,5,3.5,GLENWOOD,3371,8200,1948,,441,,Sold,,,https://www.redfin.com/MD/Bethesda/5307-McKinley-St-20814/home/10657555,BRIGHT MLS,MDMC2091744,N,Y,38.996757,-77.1059293
PAST SALE,June-9-2023,Single Family Residential,7803 Fulbright Ct,Bethesda,MD,20817,1215000,4,2.5,MARY KNOLLS,2659,11163,1961,,457,,Sold,,,https://www.redfin.com/MD/Bethesda/7803-Fulbright-Ct-20817/home/10677024,BRIGHT MLS,MDMC2092054,N,Y,38.989718,-77.13618
PAST SALE,July-17-2023,Single Family Residential,7704 Hemlock St,Bethesda,MD,20817,2875000,6,6.5,OAKWOOD KNOLLS,6711,10888,2023,,428,,Sold,,,https://www.redfin.com/MD/Bethesda/7704-Hemlock-St-20817/home/10669326,BRIGHT MLS,MDMC2092270,N,Y,38.9865447,-77.1296631
PAST SALE,May-25-2023,Single Family Residential,9121 Burdette Rd,Bethesda,MD,20817,4700000,5,8.5,BRADLEY HILLS GROVE,8550,29824,2007,,550,,Sold,,,https://www.redfin.com/MD/Bethesda/9121-Burdette-Rd-20817/home/10661856,BRIGHT MLS,MDMC2086638,N,Y,39.0068206,-77.1384047
PAST SALE,July-5-2023,Single Family Residential,8018 Park Overlook Dr,Bethesda,MD,20817,1100000,5,3,CARDEROCK SPRINGS,2940,18144,1965,,374,4,Sold,,,https://www.redfin.com/MD/Bethesda/8018-Park-Overlook-Dr-20817/home/10888540,BRIGHT MLS,MDMC2095826,N,Y,38.9915984,-77.1645359
PAST SALE,May-31-2023,Single Family Residential,6409 Marjory Ln,Bethesda,MD,20817,2435000,6,5,MERRIMACK PARK,5014,8029,2023,,486,,Sold,,,https://www.redfin.com/MD/Bethesda/6409-Marjory-Ln-20817/home/10669171,BRIGHT MLS,MDMC2086176,N,Y,38.9750337,-77.1303372
PAST SALE,July-14-2023,Single Family Residential,5614 Northfield Rd,Bethesda,MD,20817,850000,3,2,GREENWICH FOREST,1334,5688,1949,,637,,Sold,,,https://www.redfin.com/MD/Bethesda/5614-Northfield-Rd-20817/home/10646637,BRIGHT MLS,MDMC2092984,N,Y,38.9929585,-77.1149649
PAST SALE,June-16-2023,Single Family Residential,7809 Cayuga Ave,Bethesda,MD,20817,1150000,5,3,COHASSET,2210,11625,1959,,520,,Sold,,,https://www.redfin.com/MD/Bethesda/7809-Cayuga-Ave-20817/home/10674131,BRIGHT MLS,MDMC2091578,N,Y,38.9888013,-77.1373036
