SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,June-30-2023,Single Family Residential,615 Biggs Ave,Frederick,MD,21702,400000,3,1.5,VILLA ESTATES,1606,11250,1953,,249,,Sold,,,https://www.redfin.com/MD/Frederick/615-Biggs-Ave-21702/home/15230134,BRIGHT MLS,MDFR2035536,N,Y,39.42818,-77.4225519
PAST SALE,August-22-2023,Townhouse,5643 Crabapple Dr,Frederick,MD,21703,362000,2,2,CRESTWOOD VILLAGE,1469,4042,1987,,246,186,Sold,,,https://www.redfin.com/MD/Frederick/5643-Crabapple-Dr-21703/home/15205582,BRIGHT MLS,MDFR2038130,N,Y,39.3865094,-77.429496
PAST SALE,October-23-2023,Townhouse,5040 Saint Simon Ter,Frederick,MD,21703,340000,3,2.5,WELLINGTON TRACE,1716,1100,2001,,198,67,Sold,,,https://www.redfin.com/MD/Frederick/5040-Saint-Simon-Ter-21703/home/15247878,BRIGHT MLS,MDFR2037712,N,Y,39.3707063,-77.4401226
PAST SALE,July-21-2023,Townhouse,5913 Krantz Dr,Frederick,MD,21703,365000,3,2.5,JEFFERSON PLACE,1621,,2021,,225,260,Sold,,,https://www.redfin.com/MD/Frederick/5913-Krantz-Dr-21703/home/178977441,BRIGHT MLS,MDFR2036340,N,Y,39.395802,-77.453714
PAST SALE,May-25-2023,Townhouse,3583 Shady Pines St,Frederick,MD,21704,600000,3,3,STONE BARN VILLAGE,2130,1758,2021,,282,147,Sold,,,https://www.redfin.com/MD/Frederick/3583-Shady-Pines-St-21704/home/174682126,BRIGHT MLS,MDFR2033122,N,Y,39.331564,-77.365746
PAST SALE,September-26-2023,Townhouse,870 Amity St,Frederick,MD,21701,537990,4,3.5,RENN QUARTER,2270,2300,2023,,237,97,Sold,,,https://www.redfin.com/MD/Frederick/870-Amity-St-21701/home/178979181,BRIGHT MLS,MDFR2036512,N,Y,39.4185609,-77.38673
PAST SALE,August-4-2023,Single Family Residential,8013 Dustin Dr,Frederick,MD,21701,575501,3,2,Frederick,2357,68389,1981,,244,,Sold,,,https://www.redfin.com/MD/Frederick/8013-Dustin-Dr-21701/home/15244502,BRIGHT MLS,MDFR2036704,N,Y,39.4554045,-77.3030273
PAST SALE,June-19-2023,Townhouse,1728 Derrs Sq E,Frederick,MD,21701,415000,4,4,DEARBOUGHT,2108,2704,1999,,197,81,Sold,,,https://www.redfin.com/MD/Frederick/1728-Derrs-Sq-E-21701/home/15217829,BRIGHT MLS,MDFR2034378,N,Y,39.4485963,-77.3748206
PAST SALE,May-10-2023,Townhouse,92 Victoria Sq,Frederick,MD,21702,365000,3,3.5,THE ABBEY,1824,2635,1992,,200,45,Sold,,,https://www.redfin.com/MD/Frederick/92-Victoria-Sq-21702/home/15223008,BRIGHT MLS,MDFR2033300,N,Y,39.4245208,-77.4543469
PAST SALE,July-31-2023,Townhouse,5893 Bella Marie Way,Frederick,MD,21703,380000,3,2.5,JEFFERSON PLACE,1838,2471,2017,,207,284,Sold,,,https://www.redfin.com/MD/Frederick/5893-Bella-Marie-Way-21703/home/166017335,BRIGHT MLS,MDFR2036672,N,Y,39.395157,-77.454461
