SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,May-30-2023,Single Family Residential,2013 Tundra Ct,Annapolis,MD,21401,927500,4,4.0,NORTH RIVER FOREST,4121,77972,1991,,225,16,Sold,,,https://www.redfin.com/MD/Annapolis/2013-Tundra-Ct-21401/home/10034603,BRIGHT MLS,MDAA2057360,N,Y,38.9864079,-76.5949878
PAST SALE,April-28-2023,Single Family Residential,906 Saint Claire Ct,Annapolis,MD,21409,670000,4,2.5,WALNUT VIEW,2036,8934,2001,,329,,Sold,,,https://www.redfin.com/MD/Annapolis/906-Saint-Claire-Ct-21409/home/10471136,BRIGHT MLS,MDAA2055436,N,Y,39.0336252,-76.4428642
PAST SALE,September-13-2023,Townhouse,318 Wood Hollow Ct,Annapolis,MD,21409,338000,3,1.5,WHISPERING WOODS,1120,2000,1984,,302,25,Sold,,,https://www.redfin.com/MD/Annapolis/318-Wood-Hollow-Ct-21409/home/10314981,BRIGHT MLS,MDAA2067682,N,Y,39.031335,-76.479476
PAST SALE,October-18-2023,Townhouse,312 Pintail Ln,Annapolis,MD,21409,532000,4,3.0,WOODS LANDING,2244,2000,1998,,237,80,Sold,,,https://www.redfin.com/MD/Annapolis/312-Pintail-Ln-21409/home/10313016,BRIGHT MLS,MDAA2068954,N,Y,39.032304,-76.436412
PAST SALE,May-18-2023,Townhouse,1643 Foolish Pleasure Ct,Annapolis,MD,21409,385000,3,2.5,REVELL DOWNS,1491,4792,1980,,258,11,Sold,,,https://www.redfin.com/MD/Annapolis/1643-Foolish-Pleasure-Ct-21409/home/10276710,BRIGHT MLS,MDAA2057606,N,Y,39.0276277,-76.4390566
PAST SALE,June-30-2023,Townhouse,1568 Lodge Pole Ct,Annapolis,MD,21409,365000,3,2.0,WHISPERING WOODS,1568,2000,1984,,233,25,Sold,,,https://www.redfin.com/MD/Annapolis/1568-Lodge-Pole-Ct-21409/home/10315063,BRIGHT MLS,MDAA2060286,N,Y,39.0310294,-76.4775429
PAST SALE,August-21-2023,Townhouse,578 Fox Paw Trl,Annapolis,MD,21409,505000,3,2.5,WOODS LANDING,2612,2191,1980,,193,125,Sold,,,https://www.redfin.com/MD/Annapolis/578-Fox-Paw-Trl-21409/home/10312519,BRIGHT MLS,MDAA2063814,N,Y,39.030333,-76.4308082
PAST SALE,June-30-2023,Single Family Residential,1923 Pendennis Dr,Annapolis,MD,21409,1100000,5,3.5,PENDENNIS MOUNT,3721,18875,1979,,296,,Sold,,,https://www.redfin.com/MD/Annapolis/1923-Pendennis-Dr-21409/home/10270561,BRIGHT MLS,MDAA2060758,N,Y,38.9977777,-76.4781106
PAST SALE,June-8-2023,Single Family Residential,760 Windgate Dr,Annapolis,MD,21409,575000,5,3.0,CAPE ST CLAIRE,2708,9516,1973,,212,1,Sold,,,https://www.redfin.com/MD/Annapolis/760-Windgate-Dr-21409/home/10180446,BRIGHT MLS,MDAA2060000,N,Y,39.0424214,-76.4585417
PAST SALE,August-21-2023,Single Family Residential,526 Broadneck Rd,Annapolis,MD,21409,770000,4,5.5,BRIARWOOD,3628,23647,1965,,212,4,Sold,,,https://www.redfin.com/MD/Annapolis/526-Broadneck-Rd-21409/home/10165116,BRIGHT MLS,MDAA2064596,N,Y,39.034615,-76.4633956
PAST SALE,June-15-2023,Single Family Residential,102 Edgemere Dr,Annapolis,MD,21403,625000,4,3.0,HILLSMERE ESTATES,2543,16940,1969,,246,,Sold,,,https://www.redfin.com/MD/Annapolis/102-Edgemere-Dr-21403/home/10016793,BRIGHT MLS,MDAA2059274,N,Y,38.9454534,-76.4927035
PAST SALE,July-25-2023,Single Family Residential,131 Marquise Ln,Annapolis,MD,21401,850000,4,3.5,TIMBER CREEK,3358,7015,2017,,253,130,Sold,,,https://www.redfin.com/MD/Annapolis/131-Marquise-Ln-21401/home/143107201,BRIGHT MLS,MDAA2062382,N,Y,38.9717315,-76.5601345
PAST SALE,June-9-2023,Townhouse,1001 Mastline Dr,Annapolis,MD,21401,525000,3,3.0,HERITAGE HARBOUR,2138,8500,1980,,246,153,Sold,,,https://www.redfin.com/MD/Annapolis/1001-Mastline-Dr-21401/home/10076777,BRIGHT MLS,MDAA2058016,N,Y,38.9765904,-76.5931587
PAST SALE,July-28-2023,Townhouse,29 Dean St,Annapolis,MD,21401,570000,2,1.5,REGULARS,1060,1875,1900,,538,,Sold,,,https://www.redfin.com/MD/Annapolis/29-Dean-St-21401/home/10436697,BRIGHT MLS,MDAA2063856,N,Y,38.976706,-76.4957014
PAST SALE,July-20-2023,Single Family Residential,2792 Rudder Dr,Annapolis,MD,21401,440000,2,2.0,HERITAGE HARBOUR,1661,8909,1988,,265,,Sold,,,https://www.redfin.com/MD/Annapolis/2792-Rudder-Dr-21401/home/10081138,BRIGHT MLS,MDAA2062430,N,Y,38.9752832,-76.5851269
PAST SALE,May-8-2023,Single Family Residential,198 Prince George St,Annapolis,MD,21401,1375000,5,3.0,REGULARS,2522,2400,1882,,545,,Sold,,,https://www.redfin.com/MD/Annapolis/198-Prince-George-St-21401/home/10434054,BRIGHT MLS,MDAA2057460,N,Y,38.9798514,-76.4883257
PAST SALE,,Single Family Residential,14 Thompson St,Annapolis,MD,21401,1475000,,3.5,,2248,4800,1920,,656,,,,,https://www.redfin.com/MD/Annapolis/14-Thompson-St-21401/home/10438486,,,N,Y,38.9736373,-76.4977616
PAST SALE,May-26-2023,Single Family Residential,1122 River Bay Rd,Annapolis,MD,21409,2500000,6,3.5,CAPE ST CLAIRE,3714,21910,2001,,673,1,Sold,,,https://www.redfin.com/MD/Annapolis/1122-River-Bay-Rd-21409/home/10183161,BRIGHT MLS,MDAA2056894,N,Y,39.0524916,-76.4414215
PAST SALE,June-9-2023,Single Family Residential,718 Mount Alban Dr,Annapolis,MD,21409,855000,4,3.0,CAPE ST CLAIRE,3500,13790,1959,,244,1,Sold,,,https://www.redfin.com/MD/Annapolis/718-Mount-Alban-Dr-21409/home/10186926,BRIGHT MLS,MDAA2058714,N,Y,39.0420354,-76.458071
PAST SALE,July-31-2023,Single Family Residential,1192 River Bay Rd,Annapolis,MD,21409,2750000,5,5.5,CAPE ST CLAIRE,7025,21140,2003,,391,1,Sold,,,https://www.redfin.com/MD/Annapolis/1192-River-Bay-Rd-21409/home/10189964,BRIGHT MLS,MDAA2060308,N,Y,39.0490139,-76.4349415
PAST SALE,August-7-2023,Single Family Residential,1350 Blackwalnut Ct,Annapolis,MD,21403,675000,3,2.5,BLACKWALNUT COVE,2510,10220,1987,,269,20,Sold,,,https://www.redfin.com/MD/Annapolis/1350-Blackwalnut-Ct-21403/home/9945233,BRIGHT MLS,MDAA2062810,N,Y,38.9362699,-76.4758967
