iter	Passed	Remaining
146	446	2592
147	448	2580
148	449	2569
149	451	2560
150	453	2551
151	455	2541
152	458	2536
153	460	2527
154	461	2517
155	463	2508
156	465	2500
157	467	2490
158	469	2483
159	471	2476
160	473	2469
161	475	2461
162	477	2452
163	479	2443
164	481	2436
165	483	2429
166	485	2421
167	487	2416
168	489	2407
169	491	2398
170	493	2390
171	494	2382
172	496	2374
173	498	2366
174	500	2359
175	502	2354
176	504	2346
177	506	2338
178	508	2331
179	510	2324
180	512	2318
181	514	2311
182	516	2307
183	518	2300
184	520	2294
185	522	2286
186	524	2279
187	526	2272
188	527	2264
189	529	2258
190	532	2253
191	534	2248
192	536	2241
193	537	2234
194	539	2227
195	541	2219
196	543	2213
197	545	2208
198	547	2202
199	549	2196
200	550	2188
201	552	2182
202	554	2176
203	556	2169
204	557	2163
205	560	2158
206	562	2153
207	564	2147
208	565	2140
209	567	2134
210	569	2128
211	570	2121
212	572	2115
213	574	2110
214	576	2104
215	578	2098
216	579	2092
217	581	2086
218	583	2080
219	585	2074
220	586	2069
221	589	2064
222	590	2059
223	592	2053
224	594	2047
225	596	2041
226	597	2035
227	599	2028
228	600	2023
229	602	2018
230	604	2012
231	606	2007
232	608	2001
233	609	1995
234	611	1989
235	612	1983
236	614	1977
237	616	1972
238	618	1968
239	620	1963
240	621	1958
241	623	1952
242	625	1947
243	626	1942
244	628	1936
245	630	1931
246	632	1927
247	634	1923
248	636	1918
249	637	1913
250	639	1908
251	641	1902
252	642	1897
253	644	1893
254	646	1888
255	648	1884
256	650	1880
257	651	1874
258	653	1869
259	655	1864
260	656	1859
261	658	1855
262	660	1850
263	662	1847
264	664	1842
265	665	1837
266	667	1832
267	669	1827
268	670	1822
269	672	1818
270	674	1814
271	676	1811
272	678	1806
273	680	1803
274	682	1798
275	683	1794
276	685	1790
277	687	1785
278	689	1781
279	691	1777
280	693	1773
281	695	1769
282	696	1765
283	698	1761
284	700	1758
285	703	1755
286	705	1752
287	707	1749
288	709	1745
289	711	1742
290	713	1738
291	715	1734
292	717	1731
293	719	1728
294	722	1726
295	724	1722
296	726	1718
297	728	1715
298	730	1711
299	732	1709
300	734	1706
301	736	1703
302	738	1699
303	740	1696
304	743	1693
305	745	1690
306	747	1687
307	749	1683
308	751	1681
309	753	1677
310	755	1674
311	757	1671
312	759	1667
313	761	1664
314	764	1662
315	766	1659
316	768	1655
317	770	1652
318	772	1648
319	774	1645
320	776	1642
321	779	1640
322	780	1636
323	782	1633
324	784	1629
325	786	1626
326	788	1623
327	790	1619
328	792	1617
329	795	1615
330	797	1611
331	799	1608
332	801	1604
333	802	1601
334	804	1597
335	807	1594
336	809	1591
337	810	1588
338	813	1585
339	815	1582
340	817	1579
341	819	1576
342	821	1573
343	823	1570
344	825	1567
345	827	1564
346	829	1561
347	831	1558
348	833	1554
349	835	1551
350	837	1548
351	839	1545
352	841	1541
353	842	1538
354	844	1534
355	846	1531
356	848	1528
357	850	1524
358	852	1521
359	854	1519
360	856	1516
361	858	1512
362	860	1509
363	861	1505
364	863	1501
365	865	1498
366	867	1496
367	869	1493
368	871	1489
369	873	1487
370	875	1483
371	877	1480
372	879	1478
373	881	1475
374	883	1472
375	886	1471
376	888	1467
377	889	1464
378	892	1461
379	893	1458
380	895	1455
381	898	1453
382	899	1449
383	901	1446
384	904	1444
385	906	1441
386	908	1438
387	910	1435
388	912	1432
389	914	1429
390	916	1426
391	917	1423
392	919	1420
393	921	1417
394	923	1414
395	925	1412
396	928	1410
397	930	1407
398	931	1403
399	934	1401
400	935	1398
401	937	1394
402	939	1392
403	942	1389
404	943	1386
405	946	1384
406	948	1381
407	949	1378
408	951	1375
409	953	1372
410	955	1369
411	957	1367
412	959	1364
413	961	1361
414	963	1358
415	965	1355
416	967	1352
417	970	1350
418	972	1348
419	974	1345
420	975	1342
421	977	1339
422	979	1336
423	981	1333
424	983	1330
425	985	1328
426	987	1325
427	989	1322
428	991	1319
429	993	1317
430	995	1313
431	996	1310
432	998	1307
433	1000	1305
434	1002	1302
435	1004	1299
436	1006	1296
437	1008	1293
438	1010	1291
439	1012	1289
440	1014	1286
441	1017	1283
442	1018	1281
443	1020	1278
444	1022	1275
445	1024	1272
446	1026	1270
447	1028	1267
448	1031	1265
449	1032	1262
450	1034	1259
451	1036	1257
452	1038	1254
453	1040	1251
454	1043	1249
455	1045	1247
456	1047	1244
457	1049	1241
458	1051	1238
459	1052	1235
460	1055	1233
461	1056	1230
462	1059	1228
463	1061	1226
464	1063	1223
465	1065	1220
466	1067	1217
467	1068	1214
468	1070	1212
469	1072	1209
470	1074	1207
471	1077	1204
472	1079	1202
473	1081	1199
474	1083	1197
475	1085	1194
476	1101	1207
477	1103	1205
478	1106	1203
479	1108	1200
480	1110	1197
481	1111	1194
482	1113	1192
483	1115	1189
484	1117	1186
485	1120	1184
486	1122	1182
487	1124	1179
488	1125	1176
489	1127	1173
490	1129	1171
491	1131	1168
492	1133	1165
493	1136	1164
494	1138	1161
495	1140	1158
496	1142	1155
497	1143	1153
498	1145	1150
499	1147	1147
500	1150	1145
501	1152	1143
502	1155	1141
503	1157	1138
504	1158	1136
505	1161	1133
506	1163	1131
507	1165	1128
508	1167	1125
509	1169	1123
510	1170	1120
511	1172	1117
512	1174	1115
513	1176	1112
514	1178	1109
515	1180	1107
516	1182	1104
517	1184	1102
518	1186	1099
519	1188	1096
520	1189	1093
521	1191	1091
522	1193	1088
523	1195	1085
524	1197	1083
525	1198	1080
526	1200	1077
527	1202	1074
528	1203	1071
529	1205	1069
530	1207	1066
531	1209	1064
532	1211	1061
533	1213	1059
534	1215	1056
535	1217	1053
536	1218	1050
537	1221	1048
538	1223	1046
539	1225	1044
540	1227	1041
541	1229	1038
542	1231	1036
543	1232	1033
544	1234	1030
545	1236	1028
546	1238	1025
547	1240	1023
548	1242	1020
549	1244	1018
550	1246	1015
551	1248	1013
552	1249	1010
553	1251	1007
554	1254	1005
555	1256	1003
556	1258	1000
557	1260	998
558	1261	995
559	1263	992
560	1265	990
561	1267	988
562	1270	986
563	1272	983
564	1273	980
565	1276	978
566	1278	976
567	1279	973
568	1296	982
569	1298	979
570	1301	977
571	1302	974
572	1304	972
573	1306	969
574	1308	966
575	1309	964
576	1311	961
577	1314	959
578	1315	956
579	1317	954
580	1320	952
581	1322	949
582	1323	946
583	1325	944
584	1327	942
585	1330	939
586	1331	937
587	1333	934
588	1335	931
589	1337	929
590	1338	926
591	1340	924
592	1343	921
593	1345	919
594	1347	916
595	1348	914
596	1350	911
597	1352	909
598	1354	906
599	1356	904
600	1358	901
601	1360	899
602	1362	896
603	1364	894
604	1365	891
605	1368	889
606	1370	887
607	1372	885
608	1375	882
609	1377	880
610	1378	877
611	1380	875
612	1381	872
613	1384	870
614	1385	867
615	1388	865
616	1390	862
617	1392	860
618	1394	858
619	1396	855
620	1398	853
621	1400	850
622	1402	848
623	1405	846
624	1407	844
625	1408	841
626	1410	839
627	1412	836
628	1414	834
629	1416	831
630	1418	829
631	1420	827
632	1423	825
633	1424	822
634	1426	819
635	1428	817
636	1430	815
637	1432	812
638	1435	810
639	1437	808
640	1438	805
641	1440	803
642	1442	800
643	1444	798
644	1445	795
645	1448	793
646	1450	791
647	1453	789
648	1454	786
649	1456	784
650	1458	781
651	1460	779
652	1462	777
653	1464	774
654	1466	772
655	1468	769
656	1470	767
657	1471	765
658	1473	762
659	1475	760
660	1477	757
661	1479	755
662	1481	753
663	1483	750
664	1485	748
665	1487	746
666	1489	743
667	1491	741
668	1493	739
669	1496	737
670	1498	734
671	1500	732
672	1502	729
673	1504	727
674	1506	725
675	1509	723
676	1510	720
677	1512	718
678	1514	716
679	1516	713
680	1518	711
681	1520	709
682	1523	707
683	1524	704
684	1527	702
685	1529	699
686	1530	697
687	1533	695
688	1534	692
689	1537	690
690	1539	688
691	1540	685
692	1542	683
693	1544	681
694	1545	678
695	1547	675
696	1549	673
697	1551	671
698	1553	669
699	1555	666
700	1557	664
701	1559	661
702	1561	659
703	1562	657
704	1564	654
705	1566	652
706	1568	649
707	1570	647
708	1571	645
709	1573	642
710	1575	640
711	1577	637
712	1579	635
713	1581	633
714	1583	631
715	1585	628
716	1587	626
717	1589	624
718	1590	621
719	1592	619
720	1595	617
721	1597	615
722	1599	612
723	1601	610
724	1602	607
725	1604	605
726	1606	603
727	1608	601
728	1612	599
729	1614	597
730	1616	594
731	1618	592
732	1620	590
733	1621	587
734	1623	585
735	1625	583
736	1627	580
737	1630	578
738	1631	576
739	1633	573
740	1634	571
741	1636	569
742	1638	566
743	1641	564
744	1642	562
745	1644	559
746	1646	557
747	1648	555
748	1649	552
749	1651	550
750	1653	548
751	1655	546
752	1657	543
753	1660	541
754	1662	539
755	1663	536
756	1666	534
757	1668	532
758	1670	530
759	1673	528
760	1674	525
761	1676	523
762	1678	521
763	1679	518
764	1681	516
765	1684	514
766	1686	512
767	1687	509
768	1690	507
769	1692	505
770	1694	503
771	1696	501
772	1698	498
773	1700	496
774	1702	494
775	1704	491
776	1706	489
777	1708	487
778	1709	485
779	1711	482
780	1714	480
781	1716	478
782	1717	476
783	1719	473
784	1721	471
785	1723	469
786	1724	466
787	1727	464
788	1729	462
789	1731	460
790	1732	457
791	1734	455
792	1736	453
793	1737	450
794	1739	448
795	1741	446
796	1744	444
797	1746	442
798	1747	439
799	1749	437
800	1751	435
801	1753	432
802	1754	430
803	1756	428
804	1759	426
805	1760	423
806	1763	421
807	1764	419
808	1766	417
809	1768	414
810	1770	412
811	1771	410
812	1773	407
813	1775	405
814	1777	403
815	1779	401
816	1781	398
817	1782	396
818	1784	394
819	1786	392
820	1788	389
821	1790	387
822	1792	385
823	1794	383
824	1795	380
825	1797	378
826	1799	376
827	1801	374
828	1803	371
829	1805	369
830	1807	367
831	1809	365
832	1811	363
833	1812	360
834	1814	358
835	1817	356
836	1819	354
837	1821	352
838	1822	349
839	1824	347
840	1826	345
841	1827	343
842	1830	340
843	1832	338
844	1834	336
845	1835	334
846	1837	331
847	1839	329
848	1840	327
849	1842	325
850	1844	322
851	1846	320
852	1849	318
853	1850	316
854	1852	314
855	1854	312
856	1856	309
857	1858	307
858	1859	305
859	1861	303
860	1864	300
861	1866	298
862	1868	296
863	1870	294
864	1871	292
865	1873	289
866	1876	287
867	1877	285
868	1879	283
869	1881	281
870	1882	278
871	1884	276
872	1886	274
873	1888	272
874	1889	269
875	1892	267
876	1894	265
877	1896	263
878	1897	261
879	1899	259
880	1901	256
881	1903	254
882	1905	252
883	1907	250
884	1909	248
885	1911	245
886	1913	243
887	1915	241
888	1917	239
889	1919	237
890	1921	235
891	1923	232
892	1925	230
893	1927	228
894	1929	226
895	1930	224
896	1932	221
897	1935	219
898	1937	217
899	1939	215
900	1941	213
901	1942	211
902	1945	208
903	1947	206
904	1949	204
905	1952	202
906	1953	200
907	1955	198
908	1958	196
909	1960	193
910	1962	191
911	1964	189
912	1966	187
913	1968	185
914	1970	183
915	1972	180
916	1974	178
917	1976	176
918	1978	174
919	1981	172
920	1983	170
921	1985	167
922	1986	165
923	1988	163
924	1989	161
925	1991	159
926	1994	157
927	1996	154
928	1997	152
929	2000	150
930	2002	148
931	2004	146
932	2006	144
933	2008	141
934	2010	139
935	2012	137
936	2014	135
937	2015	133
938	2017	131
939	2019	128
940	2021	126
941	2024	124
942	2026	122
943	2028	120
944	2030	118
945	2031	115
946	2033	113
947	2035	111
948	2038	109
949	2039	107
950	2041	105
951	2043	103
952	2044	100
953	2046	98
954	2048	96
955	2050	94
956	2052	92
957	2054	90
958	2056	87
959	2058	85
960	2060	83
961	2061	81
962	2063	79
963	2066	77
964	2068	75
965	2070	72
966	2072	70
967	2073	68
968	2075	66
969	2077	64
970	2079	62
971	2081	59
972	2084	57
973	2086	55
974	2087	53
975	2089	51
976	2091	49
977	2092	47
978	2094	44
979	2096	42
980	2098	40
981	2100	38
982	2101	36
983	2103	34
984	2105	32
985	2106	29
986	2109	27
987	2111	25
988	2113	23
989	2115	21
990	2117	19
991	2118	17
992	2120	14
993	2122	12
994	2124	10
995	2126	8
996	2128	6
997	2129	4
998	2131	2
999	2133	0
