iter	RMSE
207	31848.06849
208	31726.44282
209	31565.58045
210	31435.96476
211	31288.87759
212	31146.35961
213	31017.63241
214	30888.16248
215	30723.91731
216	30655.83761
217	30593.98587
218	30417.57126
219	30300.44929
220	30152.87915
221	30097.47426
222	29983.07255
223	29932.66793
224	29872.16221
225	29753.88258
226	29598.46095
227	29481.86606
228	29344.64857
229	29298.0848
230	29145.57293
231	29054.27399
232	29010.43711
233	28903.40665
234	28781.38873
235	28633.92394
236	28515.40668
237	28382.81149
238	28305.36244
239	28266.99699
240	28177.08707
241	28114.10933
242	28043.90801
243	27976.60432
244	27941.14932
245	27846.78198
246	27720.7263
247	27657.77542
248	27594.74268
249	27523.85311
250	27476.15211
251	27374.68047
252	27241.88677
253	27158.26787
254	27089.07463
255	26988.02178
256	26901.05379
257	26800.54975
258	26748.2006
259	26655.21863
260	26536.2095
261	26483.22403
262	26400.36266
263	26296.34229
264	26267.84555
265	26169.11685
266	26065.46657
267	25961.7496
268	25855.91327
269	25773.14831
270	25745.5024
271	25698.22685
272	25585.92447
273	25489.80473
274	25425.10477
275	25329.58322
276	25241.13821
277	25161.58417
278	25083.78566
279	25023.40085
280	24950.49382
281	24853.38683
282	24816.67806
283	24741.94135
284	24707.3319
285	24620.51896
286	24532.30696
287	24475.73143
288	24443.84925
289	24382.29739
290	24298.30679
291	24203.89154
292	24128.68027
293	24058.33167
294	24048.18885
295	23980.37795
296	23915.11411
297	23829.49989
298	23806.16257
299	23759.99284
300	23737.44132
301	23684.45133
302	23578.86716
303	23501.86903
304	23435.08053
305	23349.41705
306	23239.44079
307	23188.59246
308	23093.76594
309	23022.04247
310	22952.40295
311	22871.07018
312	22797.11653
313	22733.18971
314	22653.77669
315	22621.08124
316	22548.70849
317	22490.47636
318	22447.5248
319	22397.31133
320	22348.51716
321	22287.98262
322	22221.18155
323	22166.41872
324	22126.18205
325	22062.10755
326	22002.47758
327	21971.11912
328	21913.28534
329	21828.1848
330	21778.66863
331	21751.57132
332	21729.70813
333	21677.33779
334	21604.56746
335	21540.79149
336	21512.57445
337	21458.4866
338	21405.01404
339	21364.9631
340	21308.17553
341	21224.40525
342	21199.93877
343	21129.18633
344	21079.90796
345	21052.14268
346	21016.28932
347	20993.11244
348	20946.10531
349	20908.40957
350	20848.25342
351	20789.34231
352	20741.35852
353	20695.68795
354	20665.72743
355	20582.82441
356	20547.35312
357	20509.02597
358	20455.38429
359	20376.94893
360	20326.18437
361	20258.27139
362	20201.76836
363	20139.94186
364	20092.11885
365	20025.36278
366	19981.6364
367	19941.74354
368	19906.77921
369	19850.48137
370	19824.62642
371	19778.62629
372	19755.73328
373	19711.40272
374	19685.70884
375	19647.17154
376	19607.02823
377	19549.19547
378	19484.34344
379	19418.73372
380	19373.42128
381	19315.89606
382	19256.75625
383	19206.14904
384	19165.93209
385	19109.62816
386	19054.09671
387	18996.30913
388	18963.43597
389	18902.92762
390	18869.99698
391	18828.9863
392	18783.75899
393	18732.26119
394	18674.1352
395	18639.64303
396	18587.66114
397	18543.21144
398	18497.97132
399	18458.15732
400	18405.46966
401	18378.17534
402	18345.68446
403	18294.04306
404	18263.28501
405	18215.78128
406	18185.82227
407	18157.88415
408	18110.27008
409	18073.09306
410	18037.07649
411	17995.77398
412	17962.15713
413	17928.90472
414	17885.69802
415	17832.35815
416	17811.13718
417	17764.33595
418	17744.16278
419	17711.97618
420	17674.62865
421	17655.35204
422	17608.73975
423	17559.85182
424	17506.9851
425	17474.05784
426	17428.32385
427	17386.32328
428	17343.63067
429	17303.66237
430	17265.66248
431	17215.7232
432	17185.92548
433	17148.268
434	17107.28737
435	17069.99019
436	17038.74278
437	16992.37593
438	16968.82276
439	16927.92471
440	16901.22583
441	16856.08445
442	16837.19057
443	16811.98661
444	16793.36951
445	16775.5548
446	16742.38083
447	16707.32163
448	16683.78318
449	16649.32459
450	16627.72168
451	16604.38549
452	16583.16783
453	16546.22437
454	16539.96577
455	16502.46405
456	16487.65884
457	16449.44967
458	16418.81154
459	16387.33331
460	16341.87873
461	16310.13403
462	16281.16139
463	16275.23079
464	16249.24626
465	16218.78913
466	16177.50522
467	16146.80639
468	16108.40145
469	16085.36791
470	16040.82715
471	16007.20737
472	15980.82055
473	15944.22467
474	15915.82902
475	15878.45522
476	15846.68227
477	15830.98918
478	15787.33068
479	15750.23289
480	15722.27836
481	15717.01635
482	15711.95239
483	15690.05456
484	15685.15015
485	15680.40003
486	15646.26986
487	15641.71188
488	15637.31138
489	15605.7166
490	15576.11628
491	15571.82844
492	15567.69302
493	15545.63047
494	15541.69567
495	15517.45164
496	15474.20855
497	15458.13604
498	15422.16308
499	15403.66844
500	15391.9549
501	15374.54049
502	15338.37546
503	15334.67392
504	15323.36556
505	15307.01816
506	15272.85423
507	15251.27844
508	15235.27694
509	15206.31024
510	15188.04466
511	15152.90602
512	15119.14777
513	15088.426
514	15051.96437
515	15027.09223
516	15019.75968
517	15000.13185
518	14982.02947
519	14952.59441
520	14928.59518
521	14925.33339
522	14892.75761
523	14865.5117
524	14840.9694
525	14816.40466
526	14783.69935
527	14768.69282
528	14750.64515
529	14738.74981
530	14705.21746
531	14674.0981
532	14635.56381
533	14625.47919
534	14615.08862
535	14593.15604
536	14562.04628
537	14536.54035
538	14513.28546
539	14500.43312
540	14479.0313
541	14462.74637
542	14432.90645
543	14404.65293
544	14374.14937
545	14334.86968
546	14314.45851
547	14290.75432
548	14271.79011
549	14236.82002
550	14215.75218
551	14191.62796
552	14161.74017
553	14143.74475
554	14120.0029
555	14097.74487
556	14077.56591
557	14051.35807
558	14019.19599
559	14004.64739
560	13981.88563
561	13954.6239
562	13939.22007
563	13911.37169
564	13888.10069
565	13867.87406
566	13853.18012
567	13839.63729
568	13813.71558
569	13790.00856
570	13765.18971
571	13741.59507
572	13709.65903
573	13683.27011
574	13658.56986
575	13625.08181
576	13604.54331
577	13582.45228
578	13563.35987
579	13539.62203
580	13518.44279
581	13499.21844
582	13475.79099
583	13452.94332
584	13429.34466
585	13414.18462
586	13400.85682
587	13375.17949
588	13352.09736
589	13338.5064
590	13320.05923
591	13306.82281
592	13290.92562
593	13267.32023
594	13253.0435
595	13233.45839
596	13211.69764
597	13185.08413
598	13173.14209
599	13157.67996
600	13141.19266
601	13125.11983
602	13112.23794
603	13092.47774
604	13071.07274
605	13052.99735
606	13031.04046
607	13010.38527
608	13001.56228
609	12991.97121
610	12972.96482
611	12951.40245
612	12933.08521
613	12913.15998
614	12896.20914
615	12877.58869
616	12866.59798
617	12844.78661
618	12824.86597
619	12810.4071
620	12799.62233
621	12780.04439
622	12760.49408
623	12744.64323
624	12735.15552
625	12715.77905
626	12700.9377
627	12682.31783
628	12673.22376
629	12658.09553
630	12634.13381
631	12616.14201
632	12607.53821
633	12588.79085
634	12574.18872
635	12568.0873
636	12547.99716
637	12529.57378
638	12508.32519
639	12488.76335
640	12470.5468
641	12462.73585
642	12438.3488
643	12416.53791
644	12405.95136
645	12384.96683
646	12367.02399
647	12345.1411
648	12337.11558
649	12327.18661
650	12308.42859
651	12300.8496
652	12286.36141
653	12264.52949
654	12252.52247
655	12245.30744
656	12229.06342
657	12212.31051
658	12196.26732
659	12179.02572
660	12162.57993
661	12147.02852
662	12132.4997
663	12119.91236
664	12105.14902
665	12083.75593
666	12070.20107
667	12051.79023
668	12044.87401
669	12031.11224
670	12015.52943
671	12004.0168
672	11996.94392
673	11984.56241
674	11965.18122
675	11951.32889
676	11941.78815
677	11933.50195
678	11927.06756
679	11920.44566
680	11906.75646
681	11899.74381
682	11892.21464
683	11867.17751
684	11856.09932
685	11838.63484
686	11821.304
687	11818.71832
688	11804.81577
689	11798.67045
690	11785.90173
691	11773.77288
692	11759.32026
693	11746.99222
694	11734.83221
695	11721.96094
696	11709.1557
697	11694.96227
698	11673.9222
699	11652.24501
700	11636.97241
701	11623.1428
702	11609.5565
703	11602.03437
704	11583.14634
705	11562.72707
706	11545.0344
707	11531.58658
708	11515.48714
709	11509.68161
710	11498.14996
711	11481.4813
712	11464.58286
713	11452.81011
714	11442.9461
715	11431.22169
716	11413.37361
717	11399.27362
718	11384.25213
719	11381.93996
720	11363.2172
721	11351.32656
722	11334.26934
723	11315.36983
724	11297.09791
725	11284.71838
726	11275.53206
727	11257.27371
728	11243.39869
729	11227.66049
730	11216.02953
731	11202.82456
732	11185.89066
733	11176.78293
734	11162.0826
735	11149.13978
736	11134.13821
737	11122.12988
738	11109.87388
739	11096.93092
740	11082.60124
741	11069.8193
742	11056.86641
743	11038.47485
744	11023.1044
745	11010.53356
746	11003.09505
747	10993.2869
748	10980.66865
749	10965.36245
750	10953.68717
751	10938.84773
752	10925.06561
753	10912.27492
754	10903.65382
755	10893.9311
756	10886.97554
757	10874.11952
758	10859.82941
759	10857.37049
760	10847.04903
761	10838.31123
762	10825.37308
763	10815.82683
764	10801.57282
765	10792.72076
766	10782.89076
767	10774.36913
768	10769.06493
769	10757.30449
770	10742.69344
771	10729.77268
772	10722.08102
773	10715.68069
774	10702.80702
775	10690.99714
776	10681.75627
777	10669.68971
778	10658.7995
779	10644.42254
780	10634.69788
781	10622.30821
782	10615.83362
783	10601.21129
784	10594.74332
785	10582.38213
786	10571.33413
787	10557.91159
788	10543.7286
789	10532.38052
790	10519.28485
791	10504.88966
792	10494.87342
793	10492.50447
794	10479.81414
795	10468.35874
796	10458.67906
797	10450.11618
798	10439.79007
799	10429.56872
800	10423.49931
801	10411.90942
802	10398.95043
803	10389.69164
804	10377.39017
805	10366.69589
806	10358.82187
807	10348.59922
808	10331.04685
809	10321.28172
810	10308.0287
811	10296.84642
812	10291.40834
813	10276.88574
814	10264.69781
815	10255.32317
816	10243.06893
817	10237.91538
818	10225.30584
819	10212.97042
820	10203.28441
821	10196.14955
822	10186.57382
823	10177.20444
824	10168.35574
825	10159.47975
826	10146.26592
827	10138.52645
828	10129.96122
829	10119.55172
830	10112.95146
831	10104.18857
832	10095.46399
833	10087.97998
834	10077.88049
835	10071.63924
836	10064.0591
837	10055.00697
838	10043.46285
839	10037.36963
840	10025.03788
841	10013.91685
842	10002.67626
843	9992.400429
844	9982.983413
845	9973.074489
846	9966.124371
847	9955.784664
848	9941.752643
849	9934.792705
850	9923.020125
851	9913.394873
852	9902.334893
853	9895.456929
854	9885.536412
855	9874.494412
856	9864.097793
857	9853.508633
858	9845.092918
859	9838.815038
860	9829.269895
861	9821.78688
862	9810.618114
863	9801.262011
864	9795.469284
865	9784.936112
866	9779.328775
867	9772.702433
868	9768.173891
869	9756.772132
870	9745.295133
871	9736.257871
872	9729.049602
873	9720.181104
874	9709.643857
875	9704.066693
876	9693.877547
877	9682.640039
878	9670.891833
879	9662.191426
880	9650.965682
881	9639.85371
882	9631.563127
883	9621.510794
884	9614.344993
885	9605.15248
886	9589.781179
887	9583.512792
888	9571.380593
889	9566.30002
890	9557.905033
891	9551.644793
892	9545.41934
893	9535.670665
894	9524.486099
895	9518.388531
896	9508.349945
897	9498.661903
898	9490.849579
899	9481.092529
900	9469.079577
901	9463.438641
902	9455.50837
903	9444.804028
904	9437.759919
905	9428.653634
906	9418.676574
907	9413.231615
908	9403.514214
909	9388.294658
910	9381.950786
911	9375.792739
912	9366.168038
913	9358.506735
914	9349.011377
915	9338.328657
916	9328.143151
917	9319.895979
918	9313.749347
919	9309.352467
920	9297.783559
921	9291.438382
922	9286.800088
923	9277.759522
924	9266.880541
925	9258.345295
926	9249.274821
927	9241.306055
928	9232.098316
929	9228.433037
930	9214.673852
931	9205.504579
932	9197.101901
933	9188.452036
934	9178.654103
935	9172.057713
936	9161.482947
937	9152.748195
938	9145.057399
939	9136.560305
940	9128.377478
941	9118.732025
942	9107.274325
943	9101.604381
944	9095.86394
945	9091.580687
946	9082.621746
947	9077.547995
948	9071.41478
949	9064.822024
950	9056.736465
951	9046.496579
952	9041.926762
953	9033.086004
954	9023.816972
955	9016.907789
956	9013.62114
957	9006.743496
958	8998.344563
959	8993.923436
960	8985.432861
961	8975.525142
962	8966.425518
963	8958.041169
964	8955.915083
965	8948.907801
966	8944.807081
967	8940.534487
968	8936.777907
969	8931.818971
970	8924.336625
971	8913.172104
972	8904.511834
973	8898.651579
974	8891.878728
975	8878.851755
976	8874.277917
977	8865.230608
978	8855.190893
979	8847.344545
980	8840.661429
981	8834.743109
982	8827.378848
983	8818.99333
984	8809.396308
985	8801.40605
986	8794.526381
987	8785.602952
988	8777.149471
989	8769.251584
990	8765.986107
991	8758.69608
992	8755.724126
993	8749.362156
994	8742.740253
995	8737.660912
996	8729.779456
997	8725.856208
998	8718.65267
999	8710.687327
